spring-boot, tshepor2001, Tshepo
gauge, tshepor2001, Tshepo
FeatureToggle, tshepor2001, Tshepo 
banditmodelextension, Klerissonpaixao, Klerisson Paixao
blinky, Klerissonpaixao, Klerisson Paixao
eclipseRecorder, Klerissonpaixao, Klerisson Paixao
metricminer2, Klerissonpaixao, Klerisson Paixao
Mallet, Klerissonpaixao, Klerisson Paixao
gumtree, Klerissonpaixao, Klerisson Paixao
recorderInfra, Klerissonpaixao, Klerisson Paixao
ChangePropagation, Klerissonpaixao, Klerisson Paixao
bandit, Klerissonpaixao, Klerisson Paixao
prefrec, Klerissonpaixao, Klerisson Paixao
tracegrasp, Klerissonpaixao, Klerisson Paixao
mining-cyclic-rules, Klerissonpaixao, Klerisson Paixao
NaiveBayesClassifier, Klerissonpaixao, Klerisson Paixao
coverage-exploiter, Klerissonpaixao, Klerisson Paixao
photon-controller, schadr, Adrian Schroeter
java-dependency-extractor, schadr, Adrian Schroeter
tddforandroid, xpmatteo, Matteo Vaccari
unit-doctor, xpmatteo, Matteo Vaccari
fairy-fingers, xpmatteo, Matteo Vaccari
aw-servlet-exercises, xpmatteo, Matteo Vaccari
hangman, xpmatteo, Matteo Vaccari
ocp-kata, xpmatteo, Matteo Vaccari
tdd4android, xpmatteo, Matteo Vaccari
birthday-greetings-kata, xpmatteo, Matteo Vaccari
life, xpmatteo, Matteo Vaccari
aw-supermarket-checkout-stage-3-client-side-mvc, xpmatteo, Matteo Vaccari
aw-supermarket-checkout-stage-2-authentication, xpmatteo, Matteo Vaccari
aw-supermarket-checkout-stage-1-persistence, xpmatteo, Matteo Vaccari
aw-supermarket-checkout-stage-0-mvc, xpmatteo, Matteo Vaccari
aw-single-page-webapp-exercise, xpmatteo, Matteo Vaccari
IDDD_Samples, xpmatteo, Matteo Vaccari
metricminer2, mauricioaniche, Maurício Aniche
rt.eclipse.p2, irbull, Ian Bull
